filename,locus_tag,product,Prediction
1402135.12,ALGBIFEJ_00070,"Peptidoglycan D,D-transpeptidase MrdA",OTHER
1402135.12,ALGBIFEJ_00071,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00072,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00073,Cell shape-determining protein MreB,OTHER
1402135.12,ALGBIFEJ_00074,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00075,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00076,2-isopropylmalate synthase,OTHER
1402135.12,ALGBIFEJ_00077,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00078,_6-4_ photolyase,OTHER
1402135.12,ALGBIFEJ_00079,hypothetical protein,SP
1402135.12,ALGBIFEJ_00080,Glutamine-dependent NAD___ synthetase,OTHER
1402135.12,ALGBIFEJ_00081,hypothetical protein,SP
1402135.12,ALGBIFEJ_00082,Glutamate--tRNA ligase 1,OTHER
1402135.12,ALGBIFEJ_00083,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00084,Aminomethyltransferase,OTHER
1402135.12,ALGBIFEJ_00085,Glycine cleavage system H protein,OTHER
1402135.12,ALGBIFEJ_00086,Glycine dehydrogenase _decarboxylating_,OTHER
1402135.12,ALGBIFEJ_00087,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00088,putative ABC transporter ATP-binding protein,OTHER
1402135.12,ALGBIFEJ_00089,Esterase TesA,SP
1402135.12,ALGBIFEJ_00090,Cold shock protein CspA,OTHER
1402135.12,ALGBIFEJ_00091,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,OTHER
1402135.12,ALGBIFEJ_00092,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,OTHER
1402135.12,ALGBIFEJ_00093,HTH-type transcriptional regulator RutR,OTHER
1402135.12,ALGBIFEJ_00094,N-carbamoyl-L-amino-acid hydrolase,OTHER
1402135.12,ALGBIFEJ_00095,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00096,D-hydantoinase_dihydropyrimidinase,OTHER
1402135.12,ALGBIFEJ_00097,Aliphatic sulfonates import ATP-binding protein SsuB,OTHER
1402135.12,ALGBIFEJ_00098,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00099,Riboflavin transport system permease protein RibX,OTHER
1402135.12,ALGBIFEJ_00100,hypothetical protein,SP
1402135.12,ALGBIFEJ_00101,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00102,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00103,"putative L,D-transpeptidase ErfK_SrfK",TAT
1402135.12,ALGBIFEJ_00104,Energy-dependent translational throttle protein EttA,OTHER
1402135.12,ALGBIFEJ_00105,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00106,putative nicotinate-nucleotide adenylyltransferase,OTHER
1402135.12,ALGBIFEJ_00107,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00108,hypothetical protein,TAT
1402135.12,ALGBIFEJ_00109,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00110,Lysine--tRNA ligase,OTHER
1402135.12,ALGBIFEJ_00111,hypothetical protein,SP
1402135.12,ALGBIFEJ_00112,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00113,hypothetical protein,SP
1402135.12,ALGBIFEJ_00114,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00115,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00116,UvrABC system protein B,OTHER
1402135.12,ALGBIFEJ_00117,hypothetical protein,SP
1402135.12,ALGBIFEJ_00118,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00119,Lon protease,OTHER
1402135.12,ALGBIFEJ_00120,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00121,"Bis_5_-nucleosyl_-tetraphosphatase, symmetrical",OTHER
1402135.12,ALGBIFEJ_00122,hypothetical protein,SP
1402135.12,ALGBIFEJ_00123,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00124,Putative monooxygenase MoxC,OTHER
1402135.12,ALGBIFEJ_00125,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00126,Glycine cleavage system transcriptional activator,OTHER
1402135.12,ALGBIFEJ_00127,3-oxoacyl-_acyl-carrier-protein_ reductase,OTHER
1402135.12,ALGBIFEJ_00128,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00129,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00130,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00131,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00132,Biotin transporter BioY,OTHER
1402135.12,ALGBIFEJ_00133,HTH-type transcriptional repressor RspR,OTHER
1402135.12,ALGBIFEJ_00134,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00135,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00136,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00137,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX",OTHER
1402135.12,ALGBIFEJ_00138,C4-dicarboxylate TRAP transporter large permease protein DctM,OTHER
1402135.12,ALGBIFEJ_00139,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00140,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00141,"putative D,D-dipeptide-binding periplasmic protein DdpA",TAT
1402135.12,ALGBIFEJ_00142,Glutathione transport system permease protein GsiC,OTHER
1402135.12,ALGBIFEJ_00143,Glutathione transport system permease protein GsiD,OTHER
1402135.12,ALGBIFEJ_00144,putative ABC transporter ATP-binding protein,OTHER
1402135.12,ALGBIFEJ_00145,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00146,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00147,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00148,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00149,hypothetical protein,TAT
1402135.12,ALGBIFEJ_00150,Acetyl-CoA_oxalate CoA-transferase,OTHER
1402135.12,ALGBIFEJ_00151,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00152,Arsenite oxidase subunit AioA,OTHER
1402135.12,ALGBIFEJ_00153,Arsenite oxidase subunit AioB,TAT
1402135.12,ALGBIFEJ_00154,Transcriptional regulatory protein ZraR,OTHER
1402135.12,ALGBIFEJ_00155,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00156,hypothetical protein,TAT
1402135.12,ALGBIFEJ_00157,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00158,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00159,Ferrichrome outer membrane transporter_phage receptor,SP
1402135.12,ALGBIFEJ_00160,hypothetical protein,SP
1402135.12,ALGBIFEJ_00161,Vitamin B12 import system permease protein BtuC,OTHER
1402135.12,ALGBIFEJ_00162,putative siderophore transport system permease protein YfhA,OTHER
1402135.12,ALGBIFEJ_00163,putative siderophore transport system ATP-binding protein YusV,OTHER
1402135.12,ALGBIFEJ_00164,D-alanine--D-alanyl carrier protein ligase,OTHER
1402135.12,ALGBIFEJ_00165,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00166,Multidrug export protein MepA,OTHER
1402135.12,ALGBIFEJ_00167,L-alanine_L-glutamate racemase,OTHER
1402135.12,ALGBIFEJ_00168,Ferri-bacillibactin esterase BesA,OTHER
1402135.12,ALGBIFEJ_00169,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00170,L-ornithine N_5_-monooxygenase,OTHER
1402135.12,ALGBIFEJ_00171,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00172,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00173,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00174,Homoserine_homoserine lactone efflux protein,OTHER
1402135.12,ALGBIFEJ_00175,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00176,putative MFS-type transporter YcaD,OTHER
1402135.12,ALGBIFEJ_00177,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00178,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00179,hypothetical protein,SP
1402135.12,ALGBIFEJ_00180,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00181,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00182,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00183,Inner membrane transport protein YdhP,OTHER
1402135.12,ALGBIFEJ_00184,hypothetical protein,SP
1402135.12,ALGBIFEJ_00185,Pantothenate kinase,OTHER
1402135.12,ALGBIFEJ_00186,Fructose import ATP-binding protein FrcA,OTHER
1402135.12,ALGBIFEJ_00187,Fructose import permease protein FrcC,OTHER
1402135.12,ALGBIFEJ_00188,Fructose import binding protein FrcB,SP
1402135.12,ALGBIFEJ_00189,N-acetylmannosamine kinase,OTHER
1402135.12,ALGBIFEJ_00190,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00191,IS110 family transposase ISPye26,OTHER
1402135.12,ALGBIFEJ_00192,IS6 family transposase ISPpa9,OTHER
1402135.12,ALGBIFEJ_00193,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00194,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00195,Non-heme chloroperoxidase,OTHER
1402135.12,ALGBIFEJ_00196,HTH-type transcriptional regulator CdhR,OTHER
1402135.12,ALGBIFEJ_00197,Catabolite control protein A,OTHER
1402135.12,ALGBIFEJ_00198,Uric acid transporter UacT,OTHER
1402135.12,ALGBIFEJ_00199,8-oxoguanine deaminase,OTHER
1402135.12,ALGBIFEJ_00200,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00201,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00202,putative N-acetyltransferase YsnE,OTHER
1402135.12,ALGBIFEJ_00203,Superoxide dismutase _Cu-Zn_,SP
1402135.12,ALGBIFEJ_00205,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00206,Adaptive-response sensory-kinase SasA,OTHER
1402135.12,ALGBIFEJ_00207,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00208,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00209,Sensor histidine kinase RcsC,OTHER
1402135.12,ALGBIFEJ_00210,Glucosylglycerate phosphorylase,OTHER
1402135.12,ALGBIFEJ_00211,Translocation and assembly module subunit TamA,OTHER
1402135.12,ALGBIFEJ_00212,hypothetical protein,SP
1402135.12,ALGBIFEJ_00213,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00214,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00215,Orotidine 5_-phosphate decarboxylase,OTHER
1402135.12,ALGBIFEJ_00216,IS110 family transposase ISPye26,OTHER
1402135.12,ALGBIFEJ_00217,IS110 family transposase ISPye22,OTHER
1402135.12,ALGBIFEJ_00219,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,OTHER
1402135.12,ALGBIFEJ_00220,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00221,Histidinol dehydrogenase,OTHER
1402135.12,ALGBIFEJ_00222,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00223,Arsenate reductase,OTHER
1402135.12,ALGBIFEJ_00224,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00225,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00226,hypothetical protein,LIPO
1402135.12,ALGBIFEJ_00227,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00228,Sensor histidine kinase RcsC,OTHER
1402135.12,ALGBIFEJ_00229,CAI-1 autoinducer sensor kinase_phosphatase CqsS,OTHER
1402135.12,ALGBIFEJ_00230,Elongation factor 4,OTHER
1402135.12,ALGBIFEJ_00231,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00232,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00233,hypothetical protein,SP
1402135.12,ALGBIFEJ_00234,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00235,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00236,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00237,D-inositol-3-phosphate glycosyltransferase,OTHER
1402135.12,ALGBIFEJ_00238,D-inositol-3-phosphate glycosyltransferase,OTHER
1402135.12,ALGBIFEJ_00239,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00240,UDP-N-acetyl-D-glucosamine 6-dehydrogenase,OTHER
1402135.12,ALGBIFEJ_00241,hypothetical protein,SP
1402135.12,ALGBIFEJ_00242,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00243,ATP-dependent RNA helicase DbpA,OTHER
1402135.12,ALGBIFEJ_00244,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00245,Dipeptide transport system permease protein DppB,OTHER
1402135.12,ALGBIFEJ_00246,Periplasmic alpha-galactoside-binding protein,SP
1402135.12,ALGBIFEJ_00247,putative ABC transporter ATP-binding protein YejF,OTHER
1402135.12,ALGBIFEJ_00248,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00249,Fatty acid oxidation complex subunit alpha,OTHER
1402135.12,ALGBIFEJ_00250,Putative acyl-CoA dehydrogenase FadE17,OTHER
1402135.12,ALGBIFEJ_00251,Caffeyl-CoA reductase-Etf complex subunit CarC,OTHER
1402135.12,ALGBIFEJ_00252,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00253,"2,3-dehydroadipyl-CoA hydratase",OTHER
1402135.12,ALGBIFEJ_00254,Long-chain-fatty-acid--CoA ligase,OTHER
1402135.12,ALGBIFEJ_00255,Ribulose-phosphate 3-epimerase,OTHER
1402135.12,ALGBIFEJ_00256,UDP-glucose 4-epimerase,OTHER
1402135.12,ALGBIFEJ_00257,Xylulose kinase,OTHER
1402135.12,ALGBIFEJ_00258,Cytochrome c551 peroxidase,SP
1402135.12,ALGBIFEJ_00259,hypothetical protein,SP
1402135.12,ALGBIFEJ_00260,N-acetylglucosamine repressor,OTHER
1402135.12,ALGBIFEJ_00261,D-xylose-binding periplasmic protein,SP
1402135.12,ALGBIFEJ_00262,Xylose transport system permease protein XylH,OTHER
1402135.12,ALGBIFEJ_00263,Fructose import ATP-binding protein FrcA,OTHER
1402135.12,ALGBIFEJ_00264,Glucokinase,OTHER
1402135.12,ALGBIFEJ_00265,"2-oxo-hept-4-ene-1,7-dioate hydratase",OTHER
1402135.12,ALGBIFEJ_00266,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00267,Tryptophan decarboxylase,OTHER
1402135.12,ALGBIFEJ_00268,"Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase",OTHER
1402135.12,ALGBIFEJ_00269,2-aminomuconic 6-semialdehyde dehydrogenase,OTHER
1402135.12,ALGBIFEJ_00270,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,OTHER
1402135.12,ALGBIFEJ_00271,HTH-type transcriptional regulator FarR,OTHER
1402135.12,ALGBIFEJ_00272,NADP_NAD-dependent aldehyde dehydrogenase PuuC,OTHER
1402135.12,ALGBIFEJ_00273,HTH-type transcriptional regulator XynR,OTHER
1402135.12,ALGBIFEJ_00274,Putrescine--pyruvate aminotransferase,OTHER
1402135.12,ALGBIFEJ_00275,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00276,Methyl-branched lipid omega-hydroxylase,OTHER
1402135.12,ALGBIFEJ_00277,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00278,Quinone oxidoreductase 1,OTHER
1402135.12,ALGBIFEJ_00279,hypothetical protein,SP
1402135.12,ALGBIFEJ_00281,Bicyclomycin resistance protein,OTHER
1402135.12,ALGBIFEJ_00282,Transcriptional regulator SlyA,OTHER
1402135.12,ALGBIFEJ_00283,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00284,N-acetylmannosamine kinase,OTHER
1402135.12,ALGBIFEJ_00285,2-dehydro-3-deoxygluconokinase,OTHER
1402135.12,ALGBIFEJ_00286,Transaldolase,OTHER
1402135.12,ALGBIFEJ_00287,5-methylphenazine-1-carboxylate 1-monooxygenase,OTHER
1402135.12,ALGBIFEJ_00288,"Cytochrome P450-pinF2, plant-inducible",OTHER
1402135.12,ALGBIFEJ_00289,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00290,Methylthioacryloyl-CoA hydratase,OTHER
1402135.12,ALGBIFEJ_00291,Solute-binding protein,SP
1402135.12,ALGBIFEJ_00292,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00293,C4-dicarboxylate TRAP transporter large permease protein DctM,OTHER
1402135.12,ALGBIFEJ_00294,Carboxylic acid reductase,OTHER
1402135.12,ALGBIFEJ_00295,putative oxidoreductase,OTHER
1402135.12,ALGBIFEJ_00296,Transcriptional regulator SlyA,OTHER
1402135.12,ALGBIFEJ_00297,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00298,hypothetical protein,SP
1402135.12,ALGBIFEJ_00299,Glycerate dehydrogenase,OTHER
1402135.12,ALGBIFEJ_00300,Glutathione hydrolase proenzyme,SP
1402135.12,ALGBIFEJ_00301,putative FAD-linked oxidoreductase,OTHER
1402135.12,ALGBIFEJ_00302,4-methylaminobutanoate oxidase _formaldehyde-forming_,OTHER
1402135.12,ALGBIFEJ_00303,Lysozyme M1,LIPO
1402135.12,ALGBIFEJ_00304,FAD-dependent catabolic D-arginine dehydrogenase DauA,OTHER
1402135.12,ALGBIFEJ_00305,1-deoxyxylulose-5-phosphate synthase YajO,OTHER
1402135.12,ALGBIFEJ_00306,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00307,hypothetical protein,SP
1402135.12,ALGBIFEJ_00308,Metal-binding protein ZinT,SP
1402135.12,ALGBIFEJ_00309,Purine-binding protein,SP
1402135.12,ALGBIFEJ_00310,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00311,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00312,Galactose_methyl galactoside import ATP-binding protein MglA,OTHER
1402135.12,ALGBIFEJ_00313,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00314,Aldehyde oxidoreductase,OTHER
1402135.12,ALGBIFEJ_00315,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00316,DNA polymerase III subunit alpha,OTHER
1402135.12,ALGBIFEJ_00317,hypothetical protein,LIPO
1402135.12,ALGBIFEJ_00318,Protein SlyX,OTHER
1402135.12,ALGBIFEJ_00319,Histidine--tRNA ligase,OTHER
1402135.12,ALGBIFEJ_00320,ATP phosphoribosyltransferase regulatory subunit,OTHER
1402135.12,ALGBIFEJ_00321,ATP phosphoribosyltransferase,OTHER
1402135.12,ALGBIFEJ_00322,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00323,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00324,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00325,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00326,Protease synthase and sporulation protein PAI 2,OTHER
1402135.12,ALGBIFEJ_00327,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00328,hypothetical protein,SP
1402135.12,ALGBIFEJ_00329,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00330,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00331,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00332,Pca regulon regulatory protein,OTHER
1402135.12,ALGBIFEJ_00333,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00334,Glutathione-binding protein GsiB,SP
1402135.12,ALGBIFEJ_00335,Glutathione transport system permease protein GsiC,OTHER
1402135.12,ALGBIFEJ_00336,"putative D,D-dipeptide transport system permease protein DdpC",OTHER
1402135.12,ALGBIFEJ_00337,Glutathione import ATP-binding protein GsiA,OTHER
1402135.12,ALGBIFEJ_00338,Hippurate hydrolase,OTHER
1402135.12,ALGBIFEJ_00339,Carboxypeptidase G2,OTHER
1402135.12,ALGBIFEJ_00340,IS481 family transposase ISRhba3,OTHER
1402135.12,ALGBIFEJ_00341,hypothetical protein,SP
1402135.12,ALGBIFEJ_00342,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00343,Isocitrate dehydrogenase _NADP_,OTHER
1402135.12,ALGBIFEJ_00344,Cobalt-zinc-cadmium resistance protein CzcA,OTHER
1402135.12,ALGBIFEJ_00345,Efflux pump periplasmic linker BepF,SP
1402135.12,ALGBIFEJ_00346,Multidrug resistance protein MdtA,SP
1402135.12,ALGBIFEJ_00347,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00348,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00349,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00350,putative MFS-type transporter YfcJ,OTHER
1402135.12,ALGBIFEJ_00351,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00352,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00353,hypothetical protein,SP
1402135.12,ALGBIFEJ_00354,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00355,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00356,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00357,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00358,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00359,hypothetical protein,SP
1402135.12,ALGBIFEJ_00360,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00361,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00362,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00363,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00364,Thiol_disulfide interchange protein TlpA,SP
1402135.12,ALGBIFEJ_00365,Argininosuccinate lyase,OTHER
1402135.12,ALGBIFEJ_00366,hypothetical protein,LIPO
1402135.12,ALGBIFEJ_00367,hypothetical protein,LIPO
1402135.12,ALGBIFEJ_00368,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00369,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00370,Diaminopimelate decarboxylase,OTHER
1402135.12,ALGBIFEJ_00371,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00372,putative N-acetyltransferase YafP,OTHER
1402135.12,ALGBIFEJ_00373,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00374,Cell division ATP-binding protein FtsE,OTHER
1402135.12,ALGBIFEJ_00375,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00376,hypothetical protein,OTHER
1402135.12,ALGBIFEJ_00377,hypothetical protein,OTHER
