EC_number,recommended_name,systematic_name,synonyms,KO,ecpath,SignalP,Alteromonas macleodii 1A3,Marinobacter adhaerens HP15,Marinovum 5F3,Phaeobacter gallaeciensis,Pseudoalteromonas haloplanktis,Roseovarius 5C3,Ruegeria pomeroyi,Sulfitobacter pseudonitzschiae
,,,,K00241,"K00241  sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit",OTHER,4,4,0,3,4,3,0,3
,,,,K00242,"K00242  sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit",OTHER,1,1,0,1,1,1,1,1
,,,,K00243,K00243  K00243; uncharacterized protein,OTHER,1,0,0,0,1,0,0,0
,,,,K00275,"K00275  pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]",OTHER,1,0,0,0,0,0,0,0
,,,,K00287,"K00287  DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]",OTHER,1,0,0,0,0,0,0,0
,,,,K00290,"K00290  LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]",OTHER,0,0,0,1,0,1,1,1
,,,,K00304,"K00304  soxD; sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]",OTHER,0,0,0,0,0,0,1,0
,,,,K00305,"K00305  soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]",OTHER,0,0,1,1,0,0,1,0
,,,,K00334,K00334  nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2],OTHER,0,0,1,1,0,1,1,1
,,,,K00344,"K00344  qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]",OTHER,0,0,0,0,0,1,0,0
,,,,K00355,K00355  NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],OTHER,0,0,0,0,0,0,0,1
,,,,K00368,K00368  nirK; nitrite reductase (NO-forming) [EC:1.7.2.1],SP,0,0,0,0,1,0,0,0
,,,,K00375,K00375  K00375; GntR family transcriptional regulator / MocR family aminotransferase,OTHER,0,1,1,3,0,1,5,1
,,,,K00389,K00389  yidH; putative membrane protein,OTHER,0,0,0,0,0,1,0,1
,,,,K00405,K00405  ccoO; cytochrome c oxidase cbb3-type subunit II,OTHER,1,1,1,2,1,1,2,1
,,,,K00406,K00406  ccoP; cytochrome c oxidase cbb3-type subunit III,OTHER,1,1,1,2,1,1,2,1
,,,,K00407,K00407  ccoQ; cytochrome c oxidase cbb3-type subunit IV,OTHER,1,1,1,2,1,1,2,1
,,,,K00412,"K00412  CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",OTHER,1,1,1,1,1,1,1,1
,,,,K00413,"K00413  CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit",SP,1,1,1,1,1,1,1,1
,,,,K00424,K00424  cydX; cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7],OTHER,0,0,0,0,1,0,0,0
,,,,K00425,K00425  cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7],OTHER,1,0,0,0,0,0,0,0
,,,,K00428,K00428  E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5],LIPO,0,0,0,0,1,0,0,0
,,,,K00428,K00428  E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5],SP,0,0,0,2,0,1,2,0
,,,,K00432,"K00432  gpx, btuE, bsaA; glutathione peroxidase [EC:1.11.1.9]",OTHER,0,0,0,0,1,0,0,0
,,,,K00441,K00441  frhB; coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1],OTHER,0,0,0,0,0,1,0,0
,,,,K00449,"K00449  pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]",TAT,0,0,0,1,0,0,0,0
,,,,K00457,"K00457  HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]",OTHER,0,0,0,0,1,0,0,0
,,,,K00459,"K00459  ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]",OTHER,0,1,0,1,1,0,1,1
,,,,K00477,K00477  PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18],OTHER,0,0,0,0,0,0,3,0
,,,,K00485,K00485  FMO; dimethylaniline monooxygenase (N-oxide forming) / hypotaurine monooxygenase [EC:1.14.13.8 1.8.1.-],OTHER,0,0,0,0,0,0,0,1
,,,,K00496,"K00496  alkB1_2, alkM; alkane 1-monooxygenase [EC:1.14.15.3]",OTHER,0,0,0,0,0,0,2,0
,,,,K00507,"K00507  SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]",OTHER,1,2,0,0,1,0,0,0
,,,,K00525,"K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]",OTHER,0,0,2,2,0,2,2,4
,,,,K00537,K00537  arsC; arsenate reductase (glutaredoxin) [EC:1.20.4.1],OTHER,1,2,0,1,1,1,1,0
,,,,K00549,K00549  metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],OTHER,0,0,1,1,0,0,0,0
,,,,K00571,K00571  E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72],OTHER,0,0,1,0,0,0,0,0
,,,,K00574,K00574  cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],OTHER,0,0,0,0,1,0,0,0
,,,,K00602,K00602  purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],OTHER,1,1,1,1,1,1,1,1
,,,,K00620,K00620  argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1],OTHER,0,1,1,1,0,1,1,1
,,,,K00625,"K00625  E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]",OTHER,0,0,0,0,0,0,1,0
,,,,K00647,K00647  fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41],OTHER,0,0,0,0,1,0,0,0
,,,,K00655,K00655  plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51],OTHER,0,1,0,0,0,0,2,0
,,,,K00657,"K00657  speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]",OTHER,1,0,0,0,1,0,0,1
,,,,K00658,"K00658  DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]",OTHER,2,0,2,0,2,2,0,2
,,,,K00662,K00662  aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81],OTHER,0,0,1,0,0,0,0,0
,,,,K00681,K00681  ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13],OTHER,0,0,0,0,0,0,0,1
,,,,K00682,K00682  GGCT; gamma-glutamylcyclotransferase [EC:4.3.2.9],OTHER,0,0,0,0,1,0,0,0
,,,,K00761,"K00761  upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]",OTHER,0,0,0,0,0,1,0,0
,,,,K00766,K00766  trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18],OTHER,1,0,0,0,1,0,0,0
,,,,K00767,"K00767  nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]",OTHER,0,0,1,0,0,0,0,0
,,,,K00782,K00782  lldG; L-lactate dehydrogenase complex protein LldG,OTHER,0,2,0,0,1,0,0,0
,,,,K00796,K00796  folP; dihydropteroate synthase [EC:2.5.1.15],OTHER,0,0,1,0,0,0,0,0
,,,,K00799,"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]",OTHER,3,3,6,6,3,3,7,9
,,,,K00803,"K00803  AGPS, agpS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]",OTHER,0,2,0,0,0,0,0,0
,,,,K00883,K00883  dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58],OTHER,0,0,0,1,0,0,0,0
,,,,K00927,"K00927  PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",OTHER,0,0,0,0,0,0,5,0
,,,,K00936,"K00936  pdtaS; two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]",OTHER,0,0,1,3,0,2,0,2
,,,,K00949,"K00949  thiN, TPK1, THI80; thiamine pyrophosphokinase [EC:2.7.6.2]",OTHER,0,0,1,1,0,1,1,0
,,,,K00950,K00950  folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3],OTHER,0,1,0,0,1,0,0,1
,,,,K00958,"K00958  sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]",OTHER,0,0,0,0,0,0,1,1
,,,,K00971,"K00971  manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]",OTHER,0,0,2,0,0,0,0,0
,,,,K00974,K00974  cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-],OTHER,1,1,0,0,0,0,0,0
,,,,K00981,"K00981  E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]",OTHER,0,0,1,1,0,2,1,1
,,,,K00982,K00982  glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89],OTHER,1,1,1,0,1,1,1,1
,,,,K00986,K00986  ltrA; RNA-directed DNA polymerase [EC:2.7.7.49],OTHER,17,0,0,0,1,0,1,0
,,,,K00990,K00990  glnD; [protein-PII] uridylyltransferase [EC:2.7.7.59],OTHER,1,1,1,1,1,1,1,1
,,,,K01021,K01021  TPST; protein-tyrosine sulfotransferase [EC:2.8.2.20],OTHER,1,0,0,0,0,0,0,0
,,,,K01040,"K01040  gctB; glutaconate CoA-transferase, subunit B [EC:2.8.3.12]",OTHER,0,0,0,0,0,0,0,1
,,,,K01046,"K01046  lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]",SP,0,0,0,1,0,1,1,1
,,,,K01048,K01048  pldB; lysophospholipase [EC:3.1.1.5],OTHER,0,0,0,0,0,1,0,0
,,,,K01057,"K01057  PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]",OTHER,0,2,0,0,0,2,2,3
,,,,K01058,K01058  pldA; phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4],SP,1,0,0,0,1,0,0,0
,,,,K01061,K01061  E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45],OTHER,0,1,0,0,0,0,0,0
,,,,K01061,K01061  E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45],TAT,1,0,1,0,0,0,0,0
,,,,K01077,"K01077  E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]",LIPO,0,0,0,0,1,0,0,0
,,,,K01077,"K01077  E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]",SP,0,0,0,0,1,0,0,1
,,,,K01079,"K01079  serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]",OTHER,1,0,1,1,1,1,2,1
,,,,K01083,K01083  E3.1.3.8; 3-phytase [EC:3.1.3.8],LIPO,1,0,0,0,1,0,0,0
,,,,K01089,K01089  hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15],OTHER,1,0,0,0,1,0,0,0
,,,,K01091,K01091  gph; phosphoglycolate phosphatase [EC:3.1.3.18],OTHER,1,0,0,0,0,0,0,0
,,,,K01095,K01095  pgpA; phosphatidylglycerophosphatase A [EC:3.1.3.27],OTHER,0,1,0,0,0,0,1,0
,,,,K01113,K01113  phoD; alkaline phosphatase D [EC:3.1.3.1],SP,0,0,0,0,1,0,0,0
,,,,K01113,K01113  phoD; alkaline phosphatase D [EC:3.1.3.1],TAT,0,0,0,0,0,0,0,1
,,,,K01119,"K01119  cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]",OTHER,0,0,0,1,0,0,1,1
,,,,K01119,"K01119  cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]",TAT,0,0,1,1,0,0,0,1
,,,,K01126,"K01126  E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]",OTHER,1,0,2,0,0,0,2,0
,,,,K01126,"K01126  E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]",SP,0,0,0,1,0,0,0,1
,,,,K01129,K01129  dgt; dGTPase [EC:3.1.5.1],OTHER,1,0,1,1,1,1,1,1
,,,,K01139,"K01139  spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]",OTHER,1,1,0,0,1,0,0,0
,,,,K01153,"K01153  hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]",OTHER,1,1,0,0,1,1,1,0
,,,,K01154,"K01154  hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]",OTHER,1,1,0,0,1,1,1,0
,,,,K01156,K01156  res; type III restriction enzyme [EC:3.1.21.5],OTHER,0,0,1,0,0,0,0,0
,,,,K01160,K01160  rusA; crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10],OTHER,0,1,0,0,0,0,0,0
,,,,K01166,K01166  RNASET2; ribonuclease T2 [EC:4.6.1.19],SP,0,0,1,1,0,0,1,1
,,,,K01174,K01174  nuc; micrococcal nuclease [EC:3.1.31.1],LIPO,0,0,0,0,0,0,1,0
,,,,K01174,K01174  nuc; micrococcal nuclease [EC:3.1.31.1],OTHER,0,0,1,0,0,1,0,3
,,,,K01174,K01174  nuc; micrococcal nuclease [EC:3.1.31.1],SP,0,0,1,0,0,0,0,0
,,,,K01185,K01185  E3.2.1.17; lysozyme [EC:3.2.1.17],OTHER,0,0,2,0,0,0,0,0
,,,,K01187,K01187  malZ; alpha-glucosidase [EC:3.2.1.20],OTHER,0,0,1,0,0,0,0,0
,,,,K01246,K01246  tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20],OTHER,1,1,0,0,1,0,1,0
,,,,K01247,K01247  alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21],OTHER,0,1,1,1,0,1,1,1
,,,,K01254,K01254  LTA4H; leukotriene-A4 hydrolase [EC:3.3.2.6],LIPO,1,0,0,0,0,0,0,0
,,,,K01254,K01254  LTA4H; leukotriene-A4 hydrolase [EC:3.3.2.6],SP,0,0,0,0,1,0,0,0
,,,,K01262,K01262  pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9],OTHER,0,0,1,2,0,1,1,1
,,,,K01273,K01273  DPEP; membrane dipeptidase [EC:3.4.13.19],OTHER,0,0,0,2,0,1,4,2
,,,,K01273,K01273  DPEP; membrane dipeptidase [EC:3.4.13.19],SP,1,0,0,0,1,0,0,0
,,,,K01283,"K01283  ACE, CD143; peptidyl-dipeptidase A [EC:3.4.15.1]",LIPO,1,0,0,0,0,0,0,0
,,,,K01286,K01286  E3.4.16.4; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4],SP,0,0,0,0,0,0,0,1
,,,,K01297,K01297  ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13],OTHER,0,0,0,0,1,0,0,0
,,,,K01303,K01303  APEH; acylaminoacyl-peptidase [EC:3.4.19.1],OTHER,0,1,0,0,0,0,0,0
,,,,K01406,K01406  prtC; serralysin [EC:3.4.24.40],OTHER,0,0,8,14,0,6,6,4
,,,,K01406,K01406  prtC; serralysin [EC:3.4.24.40],SP,0,0,0,0,0,0,2,0
,,,,K01420,"K01420  fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein",OTHER,1,1,1,1,1,1,1,0
,,,,K01432,K01432  AFMID; arylformamidase [EC:3.5.1.9],OTHER,0,0,1,1,0,1,1,1
,,,,K01447,K01447  xlyAB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],OTHER,1,0,0,2,0,1,1,0
,,,,K01448,K01448  amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],SP,0,0,0,0,0,1,0,1
,,,,K01449,"K01449  cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]",LIPO,0,0,1,0,0,0,0,0
,,,,K01449,"K01449  cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]",OTHER,0,0,0,0,0,0,0,1
,,,,K01449,"K01449  cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]",SP,0,0,1,1,0,1,1,1
,,,,K01458,K01458  hutG; N-formylglutamate deformylase [EC:3.5.1.68],OTHER,0,0,2,2,1,2,2,2
,,,,K01460,K01460  gsp; glutathionylspermidine amidase/synthetase [EC:3.5.1.78 6.3.1.8],OTHER,0,0,0,0,1,0,0,0
,,,,K01465,"K01465  URA4, pyrC; dihydroorotase [EC:3.5.2.3]",OTHER,0,1,1,0,0,0,0,0
,,,,K01469,"K01469  OPLAH, OXP1, oplAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]",OTHER,0,0,0,0,0,1,0,0
,,,,K01473,K01473  hyuA; N-methylhydantoinase A [EC:3.5.2.14],OTHER,0,0,0,0,0,0,0,1
,,,,K01474,K01474  hyuB; N-methylhydantoinase B [EC:3.5.2.14],OTHER,0,0,1,0,0,0,0,0
,,,,K01491,K01491  folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],OTHER,1,1,2,1,1,1,2,2
,,,,K01497,"K01497  ribA, RIB1; GTP cyclohydrolase II [EC:3.5.4.25]",OTHER,1,0,0,0,1,0,0,0
,,,,K01515,K01515  nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13 3.6.1.-],OTHER,0,0,1,0,0,1,0,0
,,,,K01555,"K01555  FAH, fahA; fumarylacetoacetase [EC:3.7.1.2]",OTHER,0,0,1,1,1,0,1,1
,,,,K01560,K01560  E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2],OTHER,0,0,0,0,0,0,0,1
,,,,K01578,K01578  MLYCD; malonyl-CoA decarboxylase [EC:4.1.1.9],OTHER,0,0,2,0,0,2,0,1
,,,,K01585,K01585  speA; arginine decarboxylase [EC:4.1.1.19],OTHER,1,0,0,0,1,0,0,0
,,,,K01607,K01607  pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44],OTHER,0,0,2,4,0,3,7,2
,,,,K01625,K01625  eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42],OTHER,3,0,3,2,1,0,6,3
,,,,K01633,"K01633  folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]",OTHER,0,0,1,1,0,1,1,1
,,,,K01692,"K01692  paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]",OTHER,0,0,0,0,1,0,0,0
,,,,K01693,K01693  hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19],OTHER,0,1,1,1,0,0,0,1
,,,,K01719,"K01719  hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]",OTHER,2,0,1,1,0,1,2,3
,,,,K01726,K01726  GAMMACA; gamma-carbonic anhydrase [EC:4.2.1.-],OTHER,2,2,2,1,1,1,1,1
,,,,K01728,K01728  pel; pectate lyase [EC:4.2.2.2],LIPO,1,0,0,0,0,0,0,0
,,,,K01729,K01729  algL; poly(beta-D-mannuronate) lyase [EC:4.2.2.3],LIPO,0,0,0,0,1,0,0,0
,,,,K01737,"K01737  queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]",OTHER,1,2,0,0,1,1,0,0
,,,,K01768,K01768  E4.6.1.1; adenylate cyclase [EC:4.6.1.1],OTHER,1,1,0,2,0,0,2,0
,,,,K01782,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],OTHER,1,1,1,1,1,1,2,2
,,,,K01783,"K01783  rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]",OTHER,0,0,2,0,0,0,0,0
,,,,K01795,K01795  algG; mannuronan 5-epimerase [EC:5.1.3.37],SP,0,0,1,0,0,0,0,0
,,,,K01816,"K01816  hyi, gip; hydroxypyruvate isomerase [EC:5.3.1.22]",TAT,1,0,0,0,0,0,0,0
,,,,K01821,"K01821  praC, xylH; 4-oxalocrotonate tautomerase [EC:5.3.2.6]",OTHER,1,1,0,0,0,0,2,1
,,,,K01825,K01825  fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8],OTHER,1,1,0,0,1,0,0,0
,,,,K01826,"K01826  hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]",OTHER,0,0,0,0,1,1,0,0
,,,,K01873,"K01873  VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]",OTHER,0,0,0,0,0,1,0,0
,,,,K01879,K01879  glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14],OTHER,0,0,0,0,0,1,0,1
,,,,K01915,"K01915  glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",OTHER,0,0,0,0,0,0,1,1
,,,,K01934,K01934  MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2],OTHER,1,0,1,0,0,3,1,1
,,,,K01941,K01941  E6.3.4.6; urea carboxylase [EC:6.3.4.6],OTHER,0,1,0,0,0,0,0,0
,,,,K01951,"K01951  guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",OTHER,0,1,0,0,0,1,0,0
,,,,K01965,"K01965  PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]",OTHER,0,0,2,2,0,2,2,2
,,,,K01968,K01968  E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4],OTHER,1,1,1,1,1,1,1,1
,,,,K01971,K01971  ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1],OTHER,0,0,2,0,0,1,0,0
,,,,K01989,K01989  K01989; putative tryptophan/tyrosine transport system substrate-binding protein,SP,0,1,0,0,0,0,0,0
,,,,K01990,K01990  ABC-2.A; ABC-2 type transport system ATP-binding protein,OTHER,2,2,2,2,1,1,2,1
,,,,K01991,"K01991  wza, gfcE; polysaccharide biosynthesis/export protein",LIPO,1,2,3,3,0,2,1,2
,,,,K01991,"K01991  wza, gfcE; polysaccharide biosynthesis/export protein",OTHER,0,0,0,0,0,1,0,0
,,,,K01991,"K01991  wza, gfcE; polysaccharide biosynthesis/export protein",SP,1,1,0,0,1,0,0,0
,,,,K01992,K01992  ABC-2.P; ABC-2 type transport system permease protein,OTHER,3,2,0,1,0,1,3,0
,,,,K01993,K01993  ABC-2.TX; HlyD family secretion protein,LIPO,0,1,0,0,0,0,0,0
,,,,K01993,K01993  ABC-2.TX; HlyD family secretion protein,OTHER,0,0,0,0,0,0,1,0
,,,,K01993,K01993  ABC-2.TX; HlyD family secretion protein,SP,1,0,0,0,0,0,0,0
,,,,K01995,K01995  livG; branched-chain amino acid transport system ATP-binding protein,OTHER,0,0,1,0,0,0,2,0
,,,,K01996,K01996  livF; branched-chain amino acid transport system ATP-binding protein,OTHER,0,2,7,7,0,5,9,10
,,,,K01997,K01997  livH; branched-chain amino acid transport system permease protein,OTHER,0,6,10,8,0,7,10,12
,,,,K01998,K01998  livM; branched-chain amino acid transport system permease protein,OTHER,0,4,6,6,0,5,5,5
,,,,K01999,K01999  livK; branched-chain amino acid transport system substrate-binding protein,SP,1,5,2,5,0,4,5,6
,,,,K01999,K01999  livK; branched-chain amino acid transport system substrate-binding protein,TAT,0,0,1,1,0,1,2,3
,,,,K02000,K02000  proV; glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9],OTHER,0,0,1,0,0,0,0,0
,,,,K02001,K02001  proW; glycine betaine/proline transport system permease protein,OTHER,0,1,1,1,0,2,4,0
,,,,K02002,K02002  proX; glycine betaine/proline transport system substrate-binding protein,OTHER,0,0,0,1,0,0,0,0
,,,,K02002,K02002  proX; glycine betaine/proline transport system substrate-binding protein,SP,0,1,2,1,0,1,4,0
,,,,K02003,K02003  ABC.CD.A; putative ABC transport system ATP-binding protein,OTHER,0,1,1,0,0,0,1,1
,,,,K02004,K02004  ABC.CD.P; putative ABC transport system permease protein,OTHER,5,5,1,5,4,1,2,1
,,,,K02005,K02005  ABC.CD.TX; HlyD family secretion protein,SP,0,0,0,0,1,0,0,0
,,,,K02007,K02007  cbiM; cobalt/nickel transport system permease protein,OTHER,0,0,0,1,0,0,0,0
